@relation 'TrainSet-weka.filters.unsupervised.attribute.Remove-V-R1,9,66,4,42,64-65,60,46,7,39,68'

@attribute File_Name {'01-anarchy_in_the_uk.mp3       ','01-angel_of_death.mp3       ','01-back_to_the_primitive.mp3       ','01-born_on_the_cusp.mp3       ','01-cold_cash_and_cold_hearts.mp3       ','01-first_strike_is_deadly.mp3       ','01-one_time.mp3       ','01-optimist_or_pessimist.mp3       ','01-plastic_bomb.mp3       ','01-the_bee_and_the_cracking_egg.mp3       ','01-the_seven_tongues_of_god.mp3       ','01-true_nature.mp3       ','01-what_tomorrow_knows.mp3       ','02-beyond_within.mp3       ','02-bitches.mp3       ','02-every_morning.mp3       ','02-it_s_alright_baby.mp3       ','02-let_s_groove.mp3       ','02-mmmbop.mp3       ','02-my_oh_my.mp3       ','02-new_life.mp3       ','02-she_s_so_high.mp3       ','02-soak_up_the_sun.mp3       ','02-the_rainbow.mp3       ','02-walkie_talkie_man.mp3       ','01-open_the_gate.mp3       ','01-penny_+_me.mp3       ','01-so_long_astoria.mp3       ','01-you_re_the_only_one.mp3       ','02-a.m._180.mp3       ','01-a_way_of_life.mp3       ','01-angel_eyes.mp3       ','01-ballad_for_the_unborn.mp3       ','01-birth_school_dole_angst.mp3       ','01-dawn.mp3       ','01-everyday.mp3       ','01-homesick.mp3       ','01-in_the_bath.mp3       ','01-invitations.mp3       ','01-love_you.mp3       ','01-mississippi_half-step_uptown_too.mp3       ','01-moonshine.mp3       ','01-pink_moon.mp3       ','01-playground_love.mp3       ','01-sayhueque.mp3       ','01-deep_water.mp3       ','01-footlights.mp3       ','01-lightning_risked_it_all.mp3       ','01-old_friends_bookends.mp3       ','01-punk_rock.mp3       ','01-round_here.mp3       ','01-stardust.mp3       ','01-the_long_and_winding_road.mp3       ','01-will_my_soul_ever_rest_in_peace.mp3       ','02-autumn_lightness.mp3       ','02-brand_new_love.mp3       ','02-desert_sunrise.mp3       ','02-every_grain_of_sand.mp3       ','02-it_sure_can_get_cold_in_des_moin.mp3       ','02-on_saturday_afternoons_in_1963.mp3       '}
@attribute EDm numeric
@attribute RGm numeric
@attribute El numeric
@attribute SFm numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RSm numeric
@attribute M1m numeric
@attribute Asm numeric
@attribute Km numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
'01-anarchy_in_the_uk.mp3       ',5.243943,43.028042,0.003345,172.473362,41.248632,21.913723,43.800431,-0.146897,3457376.947287,89454671649.08269,aggressive
'01-angel_of_death.mp3       ',7.434451,36.336147,0.005113,212.477016,36.544511,13.637614,28.242499,0.584335,6534186.163342,215853058042.06064,aggressive
'01-back_to_the_primitive.mp3       ',7.334882,43.087762,0.00447,213.934192,41.719539,19.529773,48.627341,1.204622,7084041.514192,200029541173.71112,aggressive
'01-born_on_the_cusp.mp3       ',4.825737,52.134777,0.004168,285.776047,43.17858,13.889276,39.098973,1.646384,6538634.242346,432116535536.9921,aggressive
'01-cold_cash_and_cold_hearts.mp3       ',3.910991,91.929329,0.006795,225.15591,89.99585,69.841522,70.602915,1.131027,10569262.795409,257276011108.64423,aggressive
'01-first_strike_is_deadly.mp3       ',6.056435,44.973613,0.004031,169.391048,44.035821,17.636723,33.344162,0.824865,4143648.986171,157503722609.78992,aggressive
'01-one_time.mp3       ',4.937044,76.089458,0.004825,207.128074,66.548772,40.488418,57.666762,1.919282,6773565.890168,253022058408.1942,aggressive
'01-optimist_or_pessimist.mp3       ',5.898123,38.285625,0.003655,173.886027,36.906376,14.868337,32.420441,0.773632,3817898.819529,150084521857.70096,aggressive
'01-plastic_bomb.mp3       ',6.780799,63.006797,0.003637,147.895768,64.23846,44.461178,44.294934,0.627137,3593601.896743,121095534637.0796,aggressive
'01-the_bee_and_the_cracking_egg.mp3       ',6.132708,66.533004,0.002931,208.585788,59.233491,30.581718,54.668072,2.32807,3811320.515904,295604381790.848,aggressive
'01-the_seven_tongues_of_god.mp3       ',4.859249,49.077618,0.002474,146.582449,49.980679,34.498226,34.67806,0.073947,2403818.235389,118998490092.94467,aggressive
'01-true_nature.mp3       ',4.77929,57.876921,0.004211,233.616393,50.468005,23.684833,49.120424,1.515313,5557085.445951,345198366556.1243,aggressive
'01-what_tomorrow_knows.mp3       ',4.05496,94.858258,0.004,167.566765,86.844234,66.782594,70.453729,0.102128,4762313.429436,121243117120.42241,aggressive
'02-beyond_within.mp3       ',3.987936,68.628052,0.003943,190.671231,62.003779,34.262461,60.984727,0.418063,3985089.098523,201547619817.03018,aggressive
'02-bitches.mp3       ',2.309538,86.672781,0.004266,144.412523,62.361742,38.111011,69.868957,1.761761,4712485.701624,116273005911.72333,aggressive
'02-every_morning.mp3       ',3.315773,93.577339,0.003355,175.041056,81.807311,46.714601,89.545823,1.934314,5176119.538407,249411090404.48932,happy
'02-it_s_alright_baby.mp3       ',3.786863,97.267901,0.004264,188.74367,93.320428,69.804276,68.176014,2.485492,5443640.643766,195843852968.11578,happy
'02-let_s_groove.mp3       ',2.907754,90.737099,0.002798,80.306205,69.436228,35.98319,75.849621,2.270508,1473983.794465,45537040220.438065,happy
'02-mmmbop.mp3       ',4.274354,90.9565,0.004045,161.194275,91.006133,55.383578,73.556186,1.737927,4616200.672553,162023700410.68207,happy
'02-my_oh_my.mp3       ',3.777336,70.415811,0.005004,182.037109,68.344421,37.960193,42.461909,1.424829,5782180.729189,118111094059.25067,happy
'02-new_life.mp3       ',4.883721,82.907795,0.007334,187.785938,86.286212,59.810849,61.692132,1.485804,11843411.270801,132813713154.85155,happy
'02-she_s_so_high.mp3       ',3.709893,107.578386,0.005631,204.229895,100.048496,71.642126,78.320034,1.887875,7689328.65506,233590764641.35226,happy
'02-soak_up_the_sun.mp3       ',2.220013,76.856337,0.008309,159.658567,67.861911,35.275569,58.538734,2.081761,12035834.638782,109803978513.4076,happy
'02-the_rainbow.mp3       ',3.857972,76.064116,0.004089,212.107973,65.967305,50.436444,64.633267,1.220469,5878303.610263,245877196449.9697,happy
'02-walkie_talkie_man.mp3       ',4.712911,92.171162,0.004471,261.994999,92.287024,53.557244,68.271487,1.365449,8251409.077894,394019618449.22284,happy
'01-open_the_gate.mp3       ',3.677932,93.952347,0.004268,175.030985,81.829536,62.227486,66.566436,1.57229,4981129.008854,224734154240.6058,happy
'01-penny_+_me.mp3       ',2.866667,97.91139,0.003442,167.91834,84.14438,61.09489,71.992385,1.549294,4118666.963485,218884282751.30954,happy
'01-so_long_astoria.mp3       ',4.278075,95.279948,0.003831,214.0143,84.425121,66.78704,67.655276,1.510954,4852668.467155,278505764826.6105,happy
'01-you_re_the_only_one.mp3       ',3.409091,91.983897,0.00508,224.625175,81.479814,71.56152,73.01646,1.637189,7237405.008918,225020877570.4123,happy
'02-a.m._180.mp3       ',2.906977,67.464943,0.003117,110.493926,68.483968,71.0673,70.921132,2.115594,3204330.504557,98640244037.35902,happy
